"No.","Time","DeltaDisplay","DeltaApplication","Source","Destination","Protocol","Len","ColorRule","Protocol","IP TTL","Stream#","SEQ","DNS TTL","DNS Retrans","QType","RType","Transaction ID","Info"
"49","33896998.815471","0.152039","","142.250.184.234","10.42.0.142","UDP","119","7-GQUIC","UDP","52","0","","","","","","","https(443)  >  36147 Len=77"
"50","33896998.816288","0.000817","","142.250.184.234","10.42.0.142","UDP","664","7-GQUIC","UDP","52","0","","","","","","","https(443)  >  36147 Len=622"
"51","33896998.816369","0.000081","","10.42.0.142","142.250.184.234","UDP","75","7-GQUIC","UDP","64","0","","","","","","","36147  >  https(443) Len=33"
"52","33896998.816599","0.000230","","10.42.0.142","142.250.184.234","UDP","75","7-GQUIC","UDP","64","0","","","","","","","36147  >  https(443) Len=33"
"53","33896998.823758","0.007159","","10.42.0.142","142.250.184.234","UDP","164","7-GQUIC","UDP","64","0","","","","","","","36147  >  https(443) Len=122"
"54","33896998.842997","0.019239","","142.250.184.234","10.42.0.142","UDP","67","7-GQUIC","UDP","52","0","","","","","","","https(443)  >  36147 Len=25"
"55","33896998.893781","0.050784","","142.250.184.234","10.42.0.142","UDP","69","7-GQUIC","UDP","52","0","","","","","","","https(443)  >  36147 Len=27"
"56","33896998.901870","0.008089","","142.250.184.234","10.42.0.142","UDP","1388","7-GQUIC","UDP","52","0","","","","","","","https(443)  >  36147 Len=1346"
"57","33896998.902242","0.000372","","142.250.184.234","10.42.0.142","UDP","636","7-GQUIC","UDP","52","0","","","","","","","https(443)  >  36147 Len=594"
"58","33896998.902267","0.000025","","10.42.0.142","142.250.184.234","UDP","77","7-GQUIC","UDP","64","0","","","","","","","36147  >  https(443) Len=35"
"59","33896998.928177","0.025910","","10.42.0.142","142.250.184.234","UDP","75","7-GQUIC","UDP","64","0","","","","","","","36147  >  https(443) Len=33"
"60","33896999.066460","0.138283","","142.250.184.234","10.42.0.142","UDP","69","7-GQUIC","UDP","52","0","","","","","","","https(443)  >  36147 Len=27"
"61","33896999.075728","0.009268","","142.250.184.234","10.42.0.142","UDP","1388","7-GQUIC","UDP","52","0","","","","","","","https(443)  >  36147 Len=1346"
"62","33896999.076090","0.000362","","10.42.0.142","142.250.184.234","UDP","77","7-GQUIC","UDP","64","0","","","","","","","36147  >  https(443) Len=35"
"63","33896999.080619","0.004529","","142.250.184.234","10.42.0.142","UDP","402","7-GQUIC","UDP","52","0","","","","","","","https(443)  >  36147 Len=360"
"64","33896999.109582","0.028963","","10.42.0.142","142.250.184.234","UDP","75","7-GQUIC","UDP","64","0","","","","","","","36147  >  https(443) Len=33"
"65","33896999.152966","0.043384","","142.250.184.234","10.42.0.142","UDP","67","7-GQUIC","UDP","52","0","","","","","","","https(443)  >  36147 Len=25"
"66","33896999.325223","0.172257","","142.250.184.234","10.42.0.142","UDP","67","7-GQUIC","UDP","52","0","","","","","","","https(443)  >  36147 Len=25"
